,,MMLP,255,785,,,"20,017,500"
,,FREN,1740,115,,,"20,010,000"
,,MMLP,320,625,,,"20,000,000"
,,MMLP,270,735,,,"19,845,000"
,,FREN,3700,135,,,"49,950,000"
,,BANK,300,3474,,,"104,220,000"
,,ITMG,45,12306,,,"55,377,000"
,,FREN,3300,129,,,"42,570,000"
,,FREN,2850,123,,,"35,055,000"
,,FREN-W2,1400,57,,,"7,980,000"
,,IPCC,200,555,,,"11,100,000"
,,MMLP,400,490,,,"19,600,000"
,,SMGR,52,9500,,,"49,400,000"
,,BBTN,180,1963,,,"35,334,000"
,,AISA,900,304,,,"27,360,000"
,,ADHI,455,1119,,,"50,914,500"
,,FREN-W2,50000,26,,,"130,000,000"
,,IPTV,1000,164,,,"16,400,000"
,,CASH,,,,,"79,000,000"
